"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2019","22.62","22.44","22.65","22.44","13.11K","0.49%"
"12/30/2019","22.51","22.71","22.78","22.45","57.50K","-1.01%"
"12/27/2019","22.74","22.73","22.78","22.69","4.76K","-0.18%"
"12/26/2019","22.78","22.73","22.82","22.73","4.88K","0.40%"
"12/24/2019","22.69","22.52","22.74","22.52","1.09K","0.09%"
"12/23/2019","22.67","22.84","22.84","22.60","9.54K","-1.52%"
"12/20/2019","23.02","22.82","23.04","22.82","4.81K","0.31%"
"12/19/2019","22.95","22.90","23.17","22.90","5.72K","-0.61%"
"12/18/2019","23.09","23.11","23.14","23.07","8.60K","0.61%"
"12/17/2019","22.95","22.90","22.97","22.86","4.31K","0.53%"
"12/16/2019","22.83","22.98","22.98","22.83","9.48K","0.71%"
"12/13/2019","22.67","22.77","22.77","22.62","3.98K","0.09%"
"12/12/2019","22.65","22.66","22.66","22.51","7.94K","-0.09%"
"12/11/2019","22.67","22.55","22.67","22.51","1.37K","-0.13%"
"12/10/2019","22.70","22.57","22.75","22.57","6.48K","0.62%"
"12/09/2019","22.56","22.65","22.70","22.56","12.61K","-0.44%"
"12/06/2019","22.66","22.61","22.71","22.58","10.04K","0.31%"
"12/05/2019","22.59","22.49","22.59","22.49","3.06K","1.53%"
"12/04/2019","22.25","22.17","22.25","22.17","0.71K","0.72%"
"12/03/2019","22.09","21.94","22.09","21.94","11.62K","-0.05%"
"12/02/2019","22.10","22.11","22.16","22.08","2.76K","1.52%"
"11/29/2019","21.77","21.80","21.80","21.77","0.39K","-1.05%"
"11/27/2019","22.00","21.89","22.00","21.87","3.46K","0.05%"
"11/26/2019","21.99","22.00","22.07","21.94","9.59K","-0.54%"
"11/25/2019","22.11","22.18","22.20","22.11","1.07K","-0.36%"
"11/22/2019","22.19","22.23","22.24","22.13","17.96K","-0.80%"
"11/21/2019","22.37","22.28","22.37","22.28","6.39K","-0.22%"
"11/20/2019","22.42","22.33","22.52","22.33","10.31K","0.31%"
"11/19/2019","22.35","22.44","22.44","22.35","7.93K","0.22%"
"11/18/2019","22.30","22.44","22.44","22.25","2.79K","-0.62%"
"11/15/2019","22.44","22.38","22.47","22.38","2.72K","1.63%"
"11/14/2019","22.08","22.08","22.12","22.05","41.42K","-0.54%"
"11/13/2019","22.20","22.12","22.20","22.12","1.47K","-1.03%"
"11/12/2019","22.43","22.51","22.57","22.43","10.45K","-0.18%"
"11/11/2019","22.47","22.61","22.61","22.47","2.55K","-0.84%"
"11/08/2019","22.66","22.66","22.66","22.66","1.94K","0.49%"
"11/07/2019","22.55","22.56","22.60","22.54","7.19K","-0.31%"
"11/06/2019","22.62","22.75","22.75","22.59","13.99K","-0.92%"
"11/05/2019","22.83","22.75","22.85","22.75","13.96K","1.83%"
"11/04/2019","22.42","22.55","22.55","22.40","9.15K","-0.80%"
"11/01/2019","22.60","22.35","22.61","22.35","24.88K","1.39%"
"10/31/2019","22.29","22.29","22.30","22.23","0.91K","-2.54%"
"10/30/2019","22.87","22.70","22.87","22.70","11.11K","0.88%"
"10/29/2019","22.67","22.59","22.75","22.55","9.36K","-0.96%"
"10/28/2019","22.89","22.62","22.92","22.62","6.63K","1.06%"
"10/25/2019","22.65","22.63","22.71","22.63","8.43K","-1.31%"
"10/24/2019","22.95","23.02","23.07","22.95","9.33K","0.97%"
"10/23/2019","22.73","22.51","22.74","22.51","3.67K","1.25%"
"10/22/2019","22.45","22.36","22.46","22.36","1.64K","0.40%"
"10/21/2019","22.36","22.40","22.40","22.36","1.54K","0.86%"
"10/18/2019","22.17","22.13","22.17","22.13","3.68K","0.54%"
"10/17/2019","22.05","22.00","22.09","22.00","3.32K","0.64%"
"10/16/2019","21.91","21.89","21.94","21.88","3.91K","-0.05%"
"10/15/2019","21.92","21.85","21.92","21.85","0.66K","1.29%"
"10/14/2019","21.64","21.46","21.68","21.46","1.80K","0.19%"
"10/11/2019","21.60","21.64","21.75","21.60","2.88K","1.22%"
"10/10/2019","21.34","21.32","21.34","21.25","3.65K","0.99%"
"10/09/2019","21.13","21.17","21.20","21.13","3.18K","0.71%"
"10/08/2019","20.98","21.04","21.07","20.98","4.93K","-0.52%"
"10/07/2019","21.09","21.02","21.14","21.02","1.63K","-1.91%"
"10/04/2019","21.50","21.39","21.54","21.39","9.96K","1.18%"
"10/03/2019","21.25","21.25","21.25","21.25","0.09K","0.33%"
"10/02/2019","21.18","21.19","21.22","21.09","3.07K","-1.49%"
"10/01/2019","21.50","21.81","21.81","21.47","1.88K","-0.92%"
"09/30/2019","21.70","21.82","21.82","21.68","0.92K","-0.28%"
"09/27/2019","21.76","21.85","21.85","21.63","2.45K","-1.00%"
"09/26/2019","21.98","22.01","22.01","21.92","5.30K","0.73%"
"09/25/2019","21.82","21.70","21.85","21.70","4.80K","-0.09%"
"09/24/2019","21.84","22.00","22.01","21.75","14.96K","-2.02%"
"09/23/2019","22.29","22.27","22.29","22.27","1.69K","0.36%"
"09/20/2019","22.21","22.31","22.39","22.19","5.95K","-0.85%"
"09/19/2019","22.40","22.65","22.65","22.40","1.71K","-1.19%"
"09/18/2019","22.67","22.58","22.69","22.58","2.13K","0.09%"
"09/17/2019","22.65","22.32","22.66","22.32","2.34K","0.76%"
"09/16/2019","22.48","22.69","22.70","22.47","5.51K","-2.35%"
"09/13/2019","23.02","22.97","23.09","22.97","1.98K","-0.60%"
"09/12/2019","23.16","22.85","23.25","22.85","10.67K","0.35%"
"09/11/2019","23.08","22.99","23.10","22.71","16.04K","0.92%"
"09/10/2019","22.87","22.75","22.92","22.75","3.62K","0.22%"
"09/09/2019","22.82","22.82","22.91","22.82","21.14K","-0.04%"
"09/06/2019","22.83","22.60","22.83","22.60","5.97K","0.97%"
"09/05/2019","22.61","22.47","22.61","22.47","4.59K","0.80%"
"09/04/2019","22.43","22.11","22.43","22.11","15.14K","0.72%"
"09/03/2019","22.27","21.97","22.27","21.97","8.87K","-0.85%"
"08/30/2019","22.46","22.35","22.54","22.35","3.19K","0.67%"
"08/29/2019","22.31","22.07","22.35","22.07","2.35K","0.95%"
"08/28/2019","22.10","22.04","22.11","22.01","3.12K","0.64%"
"08/27/2019","21.96","22.12","22.13","21.96","3.24K","1.39%"
"08/26/2019","21.66","21.63","21.66","21.63","0.55K","0.32%"
"08/23/2019","21.59","21.77","21.92","21.54","5.59K","-0.83%"
"08/22/2019","21.77","21.73","21.77","21.67","0.62K","-0.09%"
"08/21/2019","21.79","21.86","21.89","21.79","4.55K","-0.14%"
"08/20/2019","21.82","22.00","22.00","21.82","2.83K","-0.59%"
