Date,Close,Open,High,Low,Vol,Change
31/12/2019,960.99,965.71,965.71,958.22,185.24K,-0.42%
30/12/2019,965.03,962.89,967.52,962.47,177.74K,0.16%
27/12/2019,963.51,957.7,963.51,954.19,180.52K,0.51%
26/12/2019,958.59,960.67,962.11,957.43,265.94K,-0.24%
25/12/2019,960.92,958.18,962.83,957.5,238.32K,0.21%
24/12/2019,958.88,959.43,959.43,953.29,229.67K,-0.06%
23/12/2019,959.43,959.55,960.71,958.07,241.52K,0.32%
20/12/2019,956.41,953.55,957.52,952.71,243.33K,0.44%
19/12/2019,952.26,950.61,955.85,946.74,222.47K,0.12%
18/12/2019,951.13,951.52,954.18,949.86,323.41K,-0.30%
17/12/2019,954.03,962.49,962.79,954.03,280.85K,-0.77%
16/12/2019,961.47,966,966,960.39,278.44K,-0.49%
13/12/2019,966.18,969.43,971.84,965.93,219.16K,-0.21%
12/12/2019,968.17,963.39,968.39,962.72,218.75K,0.66%
11/12/2019,961.78,960.59,961.78,954.56,216.48K,0.15%
10/12/2019,960.3,965.92,966.58,955.14,242.73K,-0.60%
9/12/2019,966.06,963.91,967.57,962.59,273.26K,0.26%
6/12/2019,963.56,962.38,965.41,960.99,171.82K,0.03%
5/12/2019,963.27,969,969.53,962.16,194.54K,-0.27%
4/12/2019,965.9,952.51,965.9,950.13,210.10K,1.31%
3/12/2019,953.43,957.4,960.82,950.96,264.94K,-0.61%
2/12/2019,959.31,971.42,972.91,958.3,211.00K,-1.18%
29/11/2019,970.75,971.1,972.89,968.03,167.27K,0.04%
28/11/2019,970.39,977.66,979.17,967.68,191.26K,-0.80%
27/11/2019,978.17,978.98,982.76,978.17,197.96K,0.14%
26/11/2019,976.79,976.35,981.96,976.35,192.50K,0.05%
25/11/2019,976.35,977.85,979.6,971.24,189.32K,-0.15%
22/11/2019,977.78,992.73,993.7,971.03,230.36K,-1.02%
21/11/2019,987.89,999.37,999.63,987.89,215.01K,-1.27%
20/11/2019,"1,000.56","1,009.21","1,009.21","1,000.56",210.31K,-0.77%
19/11/2019,"1,008.35","1,002.89","1,008.35","1,001.35",232.36K,0.54%
18/11/2019,"1,002.91","1,010.03","1,012.09","1,002.63",184.31K,-0.70%
15/11/2019,"1,010.03","1,012.93","1,015.16","1,005.10",212.33K,-0.22%
14/11/2019,"1,012.30","1,013.85","1,016.71","1,010.60",209.40K,-0.05%
13/11/2019,"1,012.77","1,019.07","1,020.09","1,010.80",286.97K,-0.55%
12/11/2019,"1,018.33","1,016.97","1,021.84","1,015.97",223.16K,0.16%
11/11/2019,"1,016.75","1,023.32","1,024.77","1,016.35",210.43K,-0.56%
8/11/2019,"1,022.49","1,026.98","1,027.39","1,021.11",181.37K,-0.15%
7/11/2019,"1,024.03","1,023.49","1,028.45","1,022.61",193.39K,-0.09%
6/11/2019,"1,024.91","1,023.43","1,028.97","1,023.42",225.00K,0.06%
5/11/2019,"1,024.34","1,022.77","1,026.53","1,021.63",199.37K,0.19%
4/11/2019,"1,022.43","1,019.00","1,023.92","1,015.86",232.79K,0.67%
1/11/2019,"1,015.59",998.82,"1,015.88",998.82,241.34K,1.68%
31/10/2019,998.82,"1,000.89","1,004.40",998.58,218.98K,-0.21%
30/10/2019,"1,000.89",996.83,"1,003.40",994.86,181.19K,0.50%
29/10/2019,995.87,997.77,999.88,995.87,249.48K,-0.06%
28/10/2019,996.48,998.27,999.94,996.48,183.76K,-0.01%
25/10/2019,996.57,993.91,996.67,992.91,173.49K,0.30%
24/10/2019,993.6,988.85,993.6,987.65,160.03K,0.59%
23/10/2019,987.79,987.04,989.61,985.52,179.02K,0.06%
22/10/2019,987.19,983.52,987.59,983.52,231.65K,0.37%
21/10/2019,983.56,988.18,988.82,983.56,200.33K,-0.57%
18/10/2019,989.2,992,993.03,988.41,174.42K,-0.06%
17/10/2019,989.82,995.04,995.81,989.82,191.55K,-0.47%
16/10/2019,994.46,995.75,997.41,993.42,188.13K,0.14%
15/10/2019,993.05,993.55,994.75,990.74,179.97K,-0.05%
14/10/2019,993.57,994.61,997.25,992.5,193.98K,0.17%
11/10/2019,991.84,988.57,991.84,987.62,168.61K,0.45%
10/10/2019,987.38,988.81,990.89,986.93,182.98K,-0.05%
9/10/2019,987.83,987.82,992,986.74,182.54K,-0.04%
8/10/2019,988.22,983.62,988.51,981.89,178.38K,0.52%
7/10/2019,983.09,989.45,990.34,983.09,178.90K,-0.46%
4/10/2019,987.59,993.69,994.81,987.59,205.01K,-0.21%
3/10/2019,989.67,985.65,992.45,983.35,140.12K,-0.15%
2/10/2019,991.19,999.18,"1,000.93",989.63,178.78K,-0.84%
1/10/2019,999.59,997.87,999.72,996.2,210.25K,0.30%
30/09/2019,996.56,999.92,"1,004.17",996.51,176.22K,-0.13%
27/09/2019,997.84,992.26,998.34,991.5,180.74K,0.72%
26/09/2019,990.75,988.7,991.66,986.35,152.56K,0.35%
25/09/2019,987.3,985.96,989.18,983.06,171.57K,-0.08%
24/09/2019,988.13,986.33,991.36,984.94,165.04K,0.24%
23/09/2019,985.75,991.75,993.98,985.75,207.51K,-0.47%
20/09/2019,990.36,997.6,998.56,990.36,203.60K,-0.68%
19/09/2019,997.1,995.49,997.2,990.55,186.92K,0.20%
18/09/2019,995.15,995.75,998.4,993.94,191.04K,-0.16%
17/09/2019,996.74,990.06,996.74,986.96,231.44K,0.70%
16/09/2019,989.86,987.07,992.6,986.72,187.15K,0.27%
13/09/2019,987.22,976.07,987.22,975.95,189.23K,1.14%
12/9/2019,976.07,972.39,976.07,972.31,141.32K,0.70%
11/9/2019,969.31,969.59,973.13,967.14,154.51K,-0.10%
10/9/2019,970.26,974.62,977.44,968.36,161.45K,-0.40%
9/9/2019,974.12,974.53,975.03,972.47,155.33K,0.00%
6/9/2019,974.08,977.83,978.73,973.87,161.16K,-0.28%
5/9/2019,976.79,979.83,981.67,976.79,159.54K,-0.09%
4/9/2019,977.63,977.97,979.91,973.37,157.39K,-0.18%
3/9/2019,979.36,984.79,985.21,978.62,186.48K,-0.48%
30/08/2019,984.06,980.25,984.87,980.25,143.16K,0.56%
29/08/2019,978.59,978.17,978.78,973.34,138.39K,0.14%
28/08/2019,977.26,977.1,981.35,977.1,147.21K,0.05%
27/08/2019,976.79,986.33,988.49,976.79,199.81K,-0.62%
26/08/2019,982.88,983.8,984.61,977,189.79K,-0.96%
23/08/2019,992.45,998.21,998.21,990.83,162.57K,-0.48%
22/08/2019,997.26,996.41,998.67,993.23,153.00K,0.29%
21/08/2019,994.38,984.36,995.44,983.3,201.56K,0.99%
20/08/2019,984.67,983.94,985.35,981.75,177.94K,0.37%
19/08/2019,981.03,984.04,985.48,979.17,158.09K,0.11%
16/08/2019,980,974.88,985.61,974.88,198.01K,0.06%
15/08/2019,979.38,958.05,979.38,955.76,182.91K,1.08%
14/08/2019,968.91,975.88,975.99,968.91,151.49K,0.22%
13/08/2019,966.83,972.7,973.09,964.03,181.50K,-0.87%
12/8/2019,975.31,975.38,977.63,973.22,174.55K,0.10%
9/8/2019,974.34,976.41,978.69,974.33,192.31K,-0.09%
8/8/2019,975.24,965.93,975.83,964.21,219.24K,0.96%
7/8/2019,965.93,967.18,971.96,961.64,219.15K,0.14%
6/8/2019,964.61,960.29,966.15,958.39,210.93K,-0.88%
5/8/2019,973.15,988.6,988.99,973.15,195.93K,-1.81%
2/8/2019,991.1,987.55,991.39,985.69,186.79K,-0.63%
1/8/2019,997.39,993.25,997.39,990.88,222.66K,0.58%
31/07/2019,991.66,986,993.4,982.64,172.88K,0.57%
30/07/2019,986.02,"1,001.46","1,002.77",986.02,154.32K,-1.19%
29/07/2019,997.94,994.23,997.94,988.29,147.83K,0.46%
26/07/2019,993.35,994.8,998.52,992.97,152.41K,-0.16%
25/07/2019,994.95,986.85,997.49,986.85,171.79K,0.66%
24/07/2019,988.41,993.01,994.85,986.34,169.64K,-0.11%
23/07/2019,989.46,981.38,990.45,980.22,184.83K,0.76%
22/07/2019,982.04,981.17,985.13,980.08,164.37K,-0.03%
19/07/2019,982.34,978.12,986.12,978.12,170.27K,0.64%
18/07/2019,976.05,979.16,979.49,975.01,139.85K,-0.66%
17/07/2019,982.57,981.49,985.59,979.05,170.02K,0.05%
16/07/2019,982.11,975.05,982.11,975.05,174.67K,0.99%
15/07/2019,972.53,975.57,975.66,970.93,150.55K,-0.29%
12/7/2019,975.4,980.11,982.1,974.32,157.31K,-0.33%
11/7/2019,978.63,976.95,980.02,975.03,161.66K,0.51%
10/7/2019,973.65,971.19,974.96,971.19,154.56K,0.47%
9/7/2019,969.05,965.24,969.05,963.05,169.48K,0.28%
8/7/2019,966.35,972.83,972.83,963.84,165.88K,-0.92%
