Date,BID,ACB,MBB,HPG,HDB,FPT,SSI,BCM,BVH,STB,CTG,GAS,GVR,MSN,MWG,PLX,POW,SAB,SHB,SSB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
12/4/2024,"53,400.00","28,000.00","24,650.00","29,950.00","24,300.00","115,500.00","37,550.00","61,000","41,900.00","29,100.00","35,900.00","79,700.00","71,900","71,900","52,000","36,850.00","11,250.00","56,000","11,300.00","22,600.00","47,400.00","18,700.00","94,600","44,500","23,600","48,450","107,000","66,600.00","19,500.00","24,150.00"
11/4/2024,"53,000.00","27,150.00","23,750.00","29,900.00","24,000.00","114,900.00","37,150.00","60,300","41,450.00","28,850.00","33,700.00","78,800.00","71,800","71,800","52,300","36,300.00","11,200.00","55,400","11,100.00","22,050.00","45,100.00","18,350.00","94,000","44,150","22,900","49,000","101,000","66,600.00","19,400.00","23,900.00"
10/4/2024,"52,140.00","27,100.00","23,800.00","29,650.00","23,950.00","113,800.00","36,950.00","61,300","41,550.00","29,100.00","33,650.00","79,900.00","72,500","72,500","52,000","36,600.00","11,300.00","55,300","11,200.00","22,000.00","45,650.00","18,350.00","94,500","44,200","22,900","48,500","102,000","66,800.00","19,400.00","24,300.00"
9/4/2024,"53,750.00","27,300.00","24,000.00","29,900.00","23,900.00","113,000.00","37,500.00","61,800","41,550.00","29,150.00","34,250.00","79,900.00","73,500","73,500","52,610","37,150.00","11,300.00","55,000","11,200.00","21,950.00","45,800.00","18,600.00","94,300","43,200","23,050","47,700","102,200","66,900.00","19,350.00","24,200.00"
8/4/2024,"52,150.00","27,150.00","23,500.00","29,600.00","23,900.00","112,600.00","36,700.00","62,000","41,550.00","27,600.00","33,500.00","79,800.00","71,900","71,900","50,000","37,050.00","11,200.00","55,300","11,100.00","21,950.00","45,500.00","18,250.00","95,000","42,950","22,700","44,500","101,100","67,000.00","19,500.00","23,600.00"
5/4/2024,"50,400.00","27,150.00","23,350.00","29,450.00","23,350.00","113,700.00","37,030.00","62,600","41,700.00","30,000.00","33,200.00","80,900.00","71,900","71,900","51,000","37,150.00","11,250.00","56,100","11,150.00","21,950.00","45,200.00","18,200.00","94,900","42,950","22,700","47,800","101,900","67,900.00","19,220.00","24,700.00"
4/4/2024,"51,000.00","27,550.00","23,800.00","29,700.00","23,350.00","123,100.00","37,650.00","63,500","42,100.00","29,700.00","33,550.00","81,500.00","74,200","74,200","50,700","37,150.00","11,300.00","56,500","11,200.00","22,000.00","46,000.00","18,400.00","96,000","43,000","23,200","47,850","102,200","67,920.00","19,300.00","25,300.00"
3/4/2024,"51,900.00","30,350.00","24,200.00","30,730.00","23,400.00","115,100.00","38,050.00","64,400","42,300.00","30,100.00","34,050.00","81,800.00","73,810","73,810","50,400","37,600.00","11,400.00","56,000","11,250.00","22,000.00","44,500.00","18,500.00","94,150","43,100","23,550","47,750","102,200","66,700.00","19,550.00","25,500.00"
2/4/2024,"51,900.00","30,400.00","25,400.00","30,070.00","23,900.00","117,000.00","38,900.00","65,400","42,350.00","30,200.00","34,900.00","82,500.00","74,500","74,500","51,600","37,900.00","11,550.00","56,400","11,300.00","22,050.00","47,650.00","18,850.00","94,500","42,900","24,100","47,300","103,000","67,300.00","19,550.00","25,550.00"
1/4/2024,"52,100.00","28,450.00","24,900.00","30,100.00","24,000.00","116,800.00","38,800.00","64,300","42,400.00","31,400.00","35,000.00","80,600.00","73,400","73,400","51,000","37,450.00","11,350.00","56,900","11,400.00","22,100.00","44,250.00","18,750.00","95,200","42,900","24,300","47,850","102,700","67,000.00","19,750.00","25,650.00"
29/03/2024,"52,100.00","28,500.00","25,400.00","30,250.00","24,100.00","116,500.00","38,500.00","64,900","42,750.00","31,600.00","35,550.00","80,200.00","74,200","74,200","51,100","37,300.00","11,450.00","56,700","11,400.00","22,100.00","47,550.00","19,100.00","94,900","42,850","24,600","47,650","103,000","67,600.00","20,500.00","25,850.00"
28/03/2024,"52,500.00","28,350.00","25,500.00","30,550.00","24,250.00","117,100.00","39,150.00","65,300","43,350.00","28,800.00","35,750.00","80,300.00","76,000","76,000","51,000","37,550.00","11,500.00","57,140","11,600.00","22,150.00","47,600.00","19,100.00","95,700","43,300","24,250","47,600","103,200","67,600.00","19,600.00","25,650.00"
27/03/2024,"52,500.00","28,000.00","25,300.00","31,700.00","24,150.00","115,200.00","38,200.00","65,200","43,300.00","30,900.00","35,500.00","80,300.00","75,400","75,400","50,700","38,000.00","11,450.00","57,500","11,500.00","22,200.00","45,950.00","19,150.00","95,800","42,500","24,200","47,050","103,000","67,600.00","19,550.00","25,950.00"
26/03/2024,"53,100.00","27,950.00","25,250.00","30,550.00","24,200.00","115,000.00","38,000.00","65,100","42,900.00","31,000.00","35,200.00","80,700.00","74,000","74,000","48,650","38,000.00","11,450.00","56,900","11,500.00","22,300.00","45,950.00","19,150.00","96,300","42,750","24,350","47,050","101,900","67,700.00","19,500.00","26,400.00"
25/03/2024,"53,000.00","27,500.00","24,700.00","30,150.00","23,550.00","114,000.00","37,500.00","65,100","42,800.00","30,850.00","34,700.00","80,400.00","78,500","78,500","48,300","37,400.00","11,400.00","57,000","12,200.00","22,100.00","45,000.00","19,000.00","95,700","42,550","23,950","46,850","100,700","67,300.00","19,150.00","26,050.00"
22/03/2024,"54,200.00","28,150.00","25,050.00","30,550.00","23,800.00","114,900.00","37,800.00","65,700","42,500.00","31,650.00","35,700.00","80,500.00","78,500","78,500","49,100","38,000.00","11,450.00","57,200","11,550.00","22,350.00","44,900.00","18,700.00","96,400","42,800","24,200","46,600","102,200","67,800.00","18,800.00","26,700.00"
21/03/2024,"53,000.00","28,000.00","24,750.00","30,250.00","23,900.00","116,200.00","37,650.00","65,700","42,800.00","31,500.00","34,900.00","81,000.00","78,000","78,000","48,500","38,450.00","11,400.00","57,200","11,450.00","22,550.00","45,100.00","18,750.00","95,200","42,900","24,300","46,500","102,600","68,400.00","18,750.00","26,950.00"
20/03/2024,"53,000.00","27,500.00","24,150.00","30,000.00","22,600.00","114,500.00","37,200.00","65,000","42,250.00","31,150.00","34,350.00","81,000.00","77,300","77,300","48,000","37,450.00","11,400.00","56,900","11,350.00","22,550.00","42,300.00","18,600.00","93,200","42,500","23,600","46,500","101,200","68,000.00","18,650.00","26,350.00"
19/03/2024,"51,600.00","26,850.00","23,200.00","29,800.00","22,350.00","112,000.00","36,150.00","64,400","42,000.00","30,400.00","33,300.00","79,700.00","77,400","77,400","45,500","37,450.00","11,250.00","56,900","11,200.00","22,450.00","40,300.00","18,200.00","92,500","42,900","22,100","47,000","101,000","67,800.00","18,150.00","26,750.00"
18/03/2024,"52,000.00","26,900.00","23,200.00","29,600.00","22,300.00","113,000.00","36,650.00","64,600","42,000.00","30,250.00","33,300.00","80,200.00","77,900","77,900","45,900","36,500.00","11,300.00","56,700","11,150.00","22,450.00","40,100.00","18,300.00","93,000","42,100","22,250","46,100","101,800","67,900.00","18,200.00","27,550.00"
15/03/2024,"52,200.00","27,350.00","23,800.00","30,100.00","23,000.00","116,000.00","37,800.00","67,500","43,100.00","30,500.00","34,750.00","82,300.00","78,500","78,500","47,350","37,650.00","11,450.00","58,000","11,400.00","22,600.00","41,400.00","18,800.00","94,000","42,400","22,500","44,400","102,700","68,800.00","18,650.00","25,750.00"
14/03/2024,"51,700.00","27,250.00","23,450.00","30,350.00","22,950.00","117,000.00","37,850.00","67,900","43,650.00","30,450.00","34,450.00","81,000.00","78,900","78,900","47,250","37,350.00","11,600.00","58,700","11,450.00","22,600.00","41,400.00","18,750.00","95,000","42,900","21,700","45,950","102,000","70,500.00","18,800.00","25,900.00"
13/03/2024,"52,600.00","27,650.00","23,850.00","30,800.00","23,100.00","117,000.00","37,950.00","69,200","44,000.00","30,850.00","35,150.00","79,000.00","80,900","80,900","48,550","37,100.00","11,600.00","59,600","11,550.00","22,600.00","42,000.00","19,000.00","96,000","42,950","22,050","45,000","102,200","70,800.00","19,050.00","25,900.00"
12/3/2024,"52,000.00","26,750.00","23,100.00","30,200.00","22,950.00","111,900.00","36,300.00","67,900","43,400.00","30,250.00","34,500.00","77,900.00","78,700","78,700","46,750","36,350.00","11,500.00","59,100","11,300.00","22,550.00","41,200.00","18,500.00","94,400","42,700","21,300","44,150","102,500","70,000.00","18,550.00","25,200.00"
11/3/2024,"50,500.00","26,750.00","22,950.00","29,900.00","23,100.00","110,000.00","36,350.00","67,100","43,350.00","30,200.00","34,150.00","77,800.00","77,500","77,500","46,400","35,950.00","11,600.00","59,300","11,400.00","22,550.00","40,400.00","18,500.00","94,100","42,550","21,300","44,350","103,000","70,300.00","18,550.00","24,500.00"
8/3/2024,"51,100.00","27,050.00","23,600.00","30,300.00","23,000.00","110,000.00","36,800.00","69,300","44,450.00","30,650.00","34,500.00","79,500.00","78,500","78,500","47,750","36,800.00","11,700.00","60,000","11,700.00","22,700.00","41,000.00","18,600.00","95,100","42,550","21,550","44,800","103,700","70,000.00","19,000.00","25,400.00"
7/3/2024,"53,300.00","27,500.00","24,400.00","31,000.00","23,150.00","111,300.00","37,700.00","69,000","44,900.00","31,300.00","35,800.00","80,400.00","80,800","80,800","49,000","37,500.00","11,850.00","60,600","11,900.00","22,750.00","42,600.00","19,250.00","95,800","43,200","21,850","45,600","103,900","72,000.00","19,450.00","26,000.00"
